,GEM plant ID,Plant name (English),Plant name (other language),Other plant names (English),Other plant names (other language),Owner,Owner (other language),Owner GEM entity ID,Owner PermID,SOE status,Parent (English),Parent GEM entity ID,Parent PermID,Location address,Location address (other language),Municipality,Subnational unit,Country/area,Region,Coordinates,Coordinate accuracy,GEM wiki page,Plant age,Announced date,Construction date,Start date,Pre-retirement announcement date,Idled date,Retired date,Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Steel products,Steel sector end users,Workforce size,ISO 14001,ISO 50001,ResponsibleSteel certification,Main production equipment,Power source,Iron ore source,Met coal source,latitude,longitude,Plant age (years),total_capacity,Lat,Lon,geometry
325,P100000121065,Fujian Dingxin Industrial Co Ltd,福建鼎信实业有限公司,,,Fujian Dingxin Industry Co Ltd,福建鼎信实业有限公司,E100000126523,unknown,,Shanghai Decent Investment (Group) Co Ltd [36.4%]; unknown [20.4%]; TSINGSHAN Holding Group Co Ltd [19.8%]; Zhejiang Qingshan Business Management Co Ltd [15.6%]; DELIXI Group Limited Co [7.8%],E100000128090 [36.4%]; E100000132388 [20.4%]; E100000128088 [19.8%]; E100000128539 [15.6%]; E100000128291 [7.8%],5000703672 [36.4%]; unknown [20.4%]; unknown [19.8%]; unknown [15.6%]; unknown [7.8%],"Longzhu Village, Wanwu Township, Fu'an City, Ningde City, Fujian Province",福建省宁德市福安市湾坞乡龙珠村,Ningde,Fujian,China,Asia Pacific,"26.7695000, 119.7385190",exact,https://www.gem.wiki/Fujian_Dingxin_Industrial_Co_Ltd,18,unknown,unknown,2008,unknown,unknown,unknown,300.0,,,,"semi-finished, finished rolled","billet, coil",unknown,3070,2023-03-24 00:00:00,2025-03-24 00:00:00,no,EAF,waste heat power generation,unknown,unknown,26.7695,119.738519,18.0,300.0,26.7695000,119.7385190,POINT (119.738519 26.7695)
331,P100000120080,Fujian Luoyuan Minguang Iron and Steel Co Ltd,福建罗源闽光钢铁有限责任公司,,,Fujian Luoyuan Minguang Iron & Steel Co Ltd,福建罗源闽光钢铁有限责任公司,E100000123227,unknown,Partial,Fujian Metallurgical Holding Co Ltd [53.4%]; unknown [46.6%],E100000124862 [53.4%]; E100000132388 [46.6%],unknown [53.4%]; unknown [46.6%],"Zone 1, Jingang Industrial Zone, Luoyuanwan Development Zone, Luoyuan County, Fuzhou City, Fujian Province",福建省福州市罗源县罗源湾开发区金港工业区1区,Fuzhou,Fujian,China,Asia Pacific,"26.4838150, 119.6710500",exact,https://www.gem.wiki/Fujian_Luoyuan_Minguang_Iron_and_Steel_Co_Ltd,12,unknown,unknown,2014,unknown,unknown,unknown,,2230.0,,,"semi-finished, finished rolled","billet, round bar, rebar",unknown,2459,2023-05-30 00:00:00,2023-05-30 00:00:00,no,BF; BOF,Self-owned power generation,unknown,unknown,26.483815,119.67105,12.0,2230.0,26.4838150,119.6710500,POINT (119.67105 26.483815)
335,P100000120081,Fujian Tsingtuo Nickel Industry Co Ltd,福建鼎信镍业有限公司,"Fujian Dingxin Nickel Industry Co., Ltd.",福建青拓镍业有限公司,Fujian Tsingtuo Nickel Industry Co Ltd,福建青拓镍业有限公司,E100000126778,unknown,,Shanghai Decent Investment (Group) Co Ltd [34.7%]; TSINGSHAN Holding Group Co Ltd [30.5%]; unknown [26.1%]; Zhejiang Qingshan Business Management Co Ltd [8.7%],E100000128090 [34.7%]; E100000128088 [30.5%]; E100000132388 [26.1%]; E100000128539 [8.7%],5000703672 [34.7%]; unknown [30.5%]; unknown [26.1%]; unknown [8.7%],"Fuxi Village, Wanwu Town, Fu'an City, Ningde City, Fujian Province",福建省宁德市福安市湾坞镇浮溪村,Ningde,Fujian,China,Asia Pacific,"26.7689250, 119.7652030",exact,https://www.gem.wiki/Fujian_Tsingtuo_Nickel_Industry_Co_Ltd,15,unknown,unknown,2011,unknown,unknown,unknown,1000.0,,,,"semi-finished, finished rolled","billet, wire, bar","building and infrastructure, energy, tools and machinery, transport",3912,2023-03-23 00:00:00,2025-03-27 00:00:00,no,BF; EAF,waste heat power generation&400 megawatts rooftop distributed photovoltaic,unknown,unknown,26.768925,119.765203,15.0,1000.0,26.7689250,119.7652030,POINT (119.765203 26.768925)
342,P100001045317,Gallantt Ispat Gorakhpur steel plant,,,,Gallantt Ispat Ltd,,E100002008017,4295873649,,Gallantt Ispat Ltd [100.0%],E100002008017 [100.0%],4295873649 [100.0%],Sector 23,,Gorakhpur Industrial Development Authority,Uttar Pradesh,India,Asia Pacific,"26.7570090, 83.1990860",exact,https://www.gem.wiki/Gallantt_Ispat_Gorakhpur_steel_plant,32,unknown,unknown,1994,unknown,unknown,unknown,,,,792.0,finished rolled,rebar,building and infrastructure,unknown,unknown,unknown,no,DRI; IF,78 MW CPP,unknown,unknown,26.757009,83.199086,32.0,792.0,26.7570090,83.1990860,POINT (83.199086 26.757009)
343,P100000120082,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,甘肃酒钢集团宏兴钢铁股份有限公司,Jiuquan Iron and Steel Group,,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,甘肃酒钢集团宏兴钢铁股份有限公司,E100000127239,unknown,,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd [100.0%],E100000127239 [100.0%],unknown [100.0%],"No. 12, Xiongguan East Road, Jiayuguan City, Gansu Province",甘肃省酒泉市嘉峪关市雄关东路12号,Jiayuguan,Gansu,China,Asia Pacific,"39.8121210, 98.2955550",exact,https://www.gem.wiki/Gansu_Jiu_Steel_Group_Hongxing_Iron_and_Steel_Co_Ltd,27,unknown,unknown,1999,unknown,unknown,unknown,,9500.0,,,finished rolled,"wire rod, sheet, plate, bar, coil, carbon steel",unknown,16221,2023-04-14 00:00:00,2025-01-10 00:00:00,no,BF; BOF; EAF,JISCO power stations 1 and 2,unknown,unknown,39.812121,98.295555,27.0,9500.0,39.8121210,98.2955550,POINT (98.295555 39.812121)
345,P100000120033,Gerdau Açominas Ouro Branco steel plant,Usina siderúrgica Gerdau Açominas,"Ouro Branco steel plant, Presidente Artur Bernardes steel plant",,Gerdau Acominas SA,Gerdau Açominas,E100001010278,4296998615,,Gerdau SA [100.0%],E100001010270 [100.0%],5000004542 [100.0%],"Rod. MG-443, Km 7 s/n, Fazenda do Cadete, Ouro Branco - MG, 36420-000, Brazil",,Ouro Branco,Minas Gerais,Brazil,Central & South America,"-20.5435070, -43.7529500",exact,https://www.gem.wiki/Gerdau_Açominas_Ouro_Branco_steel_plant,40,unknown,unknown,1986,unknown,unknown,unknown,,5462.0,2905.0,,"semi-finished, finished rolled","wire rod, sheet, plate, bloom, billet, coil, slab, profile","automotive, building and infrastructure, energy, tools and machinery",8500,2022-09-14 00:00:00,unknown,no,BF; BOF,unknown,Gerdau's Varzea do Lopes mine,unknown,-20.543507,-43.75295,40.0,8367.0,-20.5435070,-43.7529500,POINT (-43.75295 -20.543507)
372,P100000121216,Godawari Power and Ispat Sarora steel plant,,,,Godawari Power and Ispat Ltd,,E100001000665,4295874267,,Godawari Power and Ispat Ltd [100.0%],E100001000665 [100.0%],4295874267 [100.0%],"Village Sarora, Tehsil Tilda, District Raipur, Chhattisgarh, India",,Sarora,Chhattisgarh,India,Asia Pacific,"21.5650320, 81.7394470",exact,https://www.gem.wiki/Godawari_Power_and_Ispat_Sarora_steel_plant,,2021-07-01 00:00:00,unknown,2028,unknown,unknown,unknown,,1200.0,800.0,3000.0,"semi-finished, finished rolled","pipe, slab, bar, billet",unknown,5816,unknown,unknown,no,BF; BOF,330 MW Captive Power Plant,unknown,unknown,21.565032,81.739447,,5000.0,21.5650320,81.7394470,POINT (81.739447 21.565032)
373,P100000120557,Godawari Power and Ispat Siltara steel plant,,"GPIL, Ispat Godawari (IGL)",,Godawari Power and Ispat Ltd,,E100001000665,4295874267,,Godawari Power and Ispat Ltd [100.0%],E100001000665 [100.0%],4295874267 [100.0%],"428/2, Phase-I, Industrial Area, Siltara – 493111, Dist. Raipur, Chhattisgarh, INDIA",,Raipur,Chhattisgarh,India,Asia Pacific,"21.3762140, 81.6818880",exact,https://www.gem.wiki/Godawari_Power_and_Ispat_Siltara_steel_plant,25,1999,unknown,2001,unknown,unknown,unknown,,,,2100.0,"crude, semi-finished, finished rolled","bloom, billet, DRI, wire",building and infrastructure,3442,yes,yes,no,BF; DRI; IF,73 MW captive power plant,GPIL Kachche Aridongri Mine (P100000128995); GPIL Boria Tibbu Mine (P100000128997),unknown,21.376214,81.681888,25.0,2100.0,21.3762140,81.6818880,POINT (81.681888 21.376214)
378,P100000120613,Golgohar Iron and Steel Company Kerman,شرکت توسعه آهن و فولاد گل گهر,"GISDCO, Golgohar Iron and Steel Development Company, Gol Gohar Steelmaking Complex, GISCO",,Golgohar Iron and Steel Development Co,توسعه آهن و فولاد گل گه,E100001000427,5083506527,Partial,"Golgohar Mining and Industrial Co [35.0%]; Golgohar Investment and Development Co [15.0%]; Ghadir Investment Company PJSC [10.0%]; National bank employees' pension fund [10.0%]; small shareholder(s) [4.2%]; Social Insurance Fund of Farmers and Villagers [1.9%]; Retirement, Pension and Disability Fund of Banks [1.7%]; Sadr Tamin Investment Co [0.8%]; Chadormalu Mining & Industrial Co; Ghadir Industrial and Mining Development International Co; Iranian Mines & Mining Industries Development & Renovation Organization; Iron Alloy Steel Co; Sepah Bank; Shahrood Steel Co",E100000000544 [35.0%]; E100002021998 [15.0%]; E100000000543 [10.0%]; E100002022001 [10.0%]; E100001015587 [4.2%]; E100002022014 [1.9%]; E100002022015 [1.7%]; E100001011683 [0.8%]; E100001012537; E100002022013; E100000000547; E100002022012; E100002011718; E100001016092,5058647259 [35.0%]; unknown [15.0%]; 5035729783 [10.0%]; unknown [10.0%]; unknown [4.2%]; unknown [1.9%]; unknown [1.7%]; 5074708740 [0.8%]; 5062273215; unknown; 5000935267; unknown; 5000066848; unknown,"Sirjan, Kerman Province, Iran",,Sirjan,Kerman,Iran,Middle East,"29.1346140, 55.3607730",exact,https://www.gem.wiki/Golgohar_Iron_and_Steel_Company_Kerman,11,unknown,unknown,2015,unknown,unknown,unknown,,,,5000.0,"crude, semi-finished, finished rolled","slab, hot rolled coil, DRI, cold DRI, hot DRI",unknown,3000,yes,yes,no,DRI; EAF,Hadid Power Post (1000 MWA),Gol Gohar Mine (P100000128556),,29.134614,55.360773,11.0,5000.0,29.1346140,55.3607730,POINT (55.360773 29.134614)
394,P100000120087,Guangdong Guangqing Metal Technology Co Ltd,广东广青金属科技有限公司,,,Guangdong Guangqing METAL Technology Co Ltd,广东广青金属科技有限公司,E100000126182,unknown,Partial,Guangdong Guangxin Holdings Group Ltd [48.9%]; Shanghai Decent Investment (Group) Co Ltd [17.0%]; unknown [16.9%]; TSINGSHAN Holding Group Co Ltd [13.4%]; Zhejiang Qingshan Business Management Co Ltd [3.8%],E100000127962 [48.9%]; E100000128090 [17.0%]; E100000132388 [16.9%]; E100000128088 [13.4%]; E100000128539 [3.8%],unknown [48.9%]; 5000703672 [17.0%]; unknown [16.9%]; unknown [13.4%]; unknown [3.8%],"No.1 Haigang Erheng Road, Lingang Industrial Park, Yangjiang High-tech Industrial Development Zone, Guangdong Province",广东省阳江市高新技术产业开发区临港工业园海港二横路1号,Yangjiang,Guangdong,China,Asia Pacific,"21.6970690, 111.8488410",exact,https://www.gem.wiki/Guangdong_Guangqing_Metal_Technology_Co_Ltd,16,unknown,unknown,2010,unknown,unknown,unknown,300.0,,,,finished rolled,"billet, coil",unknown,3499,2025-05-16 00:00:00,2025-03-06 00:00:00,no,EAF,Rooftop Distributed Photovoltaic Power Generation,unknown,unknown,21.697069,111.848841,16.0,300.0,21.6970690,111.8488410,POINT (111.848841 21.697069)
413,P100000120093,Guangxi Beigang New Material Co Ltd,北海诚德镍业有限公司,"Beihai Chengde Ferronickel Co., Ltd., Guangxi Beibu Gulf New Material Co., Ltd.","广西北部湾新材料有限公司, 广西北港新材料有限公司",Guangxi BG New Materials Co Ltd,广西北港新材料有限公司,E100000126649,unknown,Full,Guangxi Beibu Gulf International Port Group Co Ltd [100.0%],E100000127970 [100.0%],5000910985 [100.0%],"Intersection of No.4 Road and No.7 Road, Tieshangang District, Beihai City, Guangxi Zhuang Autonomous Region",广西北海市铁山港区四号路与七号路交汇处,Beihai,Guangxi,China,Asia Pacific,"21.5199240, 109.5064270",exact,https://www.gem.wiki/Guangxi_Beigang_New_Material_Co_Ltd,17,unknown,unknown,2009,unknown,unknown,unknown,3400.0,,,,finished rolled,"slab, coil, tube",unknown,2225,expired,expired,no,BF; EAF,Southern Power Grid North Bay Power Supply Bureau in Guangxi & Waste Heat Power Generation,unknown,unknown,21.519924,109.506427,17.0,3400.0,21.5199240,109.5064270,POINT (109.506427 21.519924)
424,P100000120306,Guangxi Iron and Steel Group Co Ltd Fangchenggang Iron & Steel Base,广西钢铁集团有限公司防城港钢铁基地,,"柳钢集团防城港钢铁基地, 广西钢铁集团有限公司, 广西柳州钢铁集团有限公司, 武钢柳钢(集团)联合有限责任公司",Guangxi Iron and Steel Group Co Ltd,广西钢铁集团有限公司,E100000123161,unknown,Partial,Liuzhou IRON&STEEL Co Ltd [45.8%]; Guangxi Liuzhou Iron and Steel Group Co Ltd [45.6%]; China Baowu Steel Group Co Ltd [8.6%],E100000123902 [45.8%]; E100000123903 [45.6%]; E100001000472 [8.6%],unknown [45.8%]; unknown [45.6%]; 5000039946 [8.6%],"Qisha Industrial Park, Fangchenggang City, Guangxi Zhuang Autonomous Region",广西壮族自治区防城港市企沙工业园区,Fangchenggang,Guangxi,China,Asia Pacific,"21.5807230, 108.4008960",exact,https://www.gem.wiki/Guangxi_Iron_and_Steel_Group_Co_Ltd_Fangchenggang_Iron_&_Steel_Base,6,unknown,unknown,2020,unknown,unknown,unknown,,10730.0,3500.0,,finished rolled,"coil, sheet, coated",unknown,5943,2025-06-19 00:00:00,2023-07-18 00:00:00,no,BF; BOF,unknown,unknown,unknown,21.580723,108.400896,6.0,14230.0,21.5807230,108.4008960,POINT (108.400896 21.580723)
425,P100000120374,Guangxi Liugang Zhongjin Stainless Steel Co Ltd,广西柳钢中金不锈钢有限公司,"Guangxi Zhongjin Metal Technology Co., Ltd.",广西中金金属科技有限公司,Guangxi Liugang Zhongjin Stainless Steel Co Ltd,广西柳钢中金不锈钢有限公司,E100000126562,unknown,Full,Guangxi Liuzhou Iron and Steel Group Co Ltd [100.0%],E100000123903 [100.0%],unknown [100.0%],"Longtan Industrial Park, Yulin City, Guangxi Zhuang Autonomous Region",广西壮族自治区玉林市龙潭产业园南北三号路,Yulin,Guangxi,China,Asia Pacific,"21.6726100, 109.7418660",exact,https://www.gem.wiki/Guangxi_Liugang_Zhongjin_Stainless_Steel_Co_Ltd,13,unknown,unknown,2013,unknown,unknown,unknown,100.0,1100.0,,,finished rolled,coil,"building and infrastructure, tools and machinery, transport",2132,2024-08-16 00:00:00,2023-08-11 00:00:00,no,BF; Steel other/unspecified; Iron other/unspecified,unknown,unknown,unknown,21.67261,109.741866,13.0,1200.0,21.6726100,109.7418660,POINT (109.741866 21.67261)
448,P100000120315,Hbis Laoting Steel Co Ltd,唐钢新区,,河钢乐亭钢铁有限公司(唐钢新区),HBIS Laoting Steel Co Ltd,河钢乐亭钢铁有限公司,E100000123169,unknown,Partial,HBIS Co Ltd [69.1%]; HBIS Group Co Ltd [7.7%]; Hebei Province Jicai Lndustryl Equity Lnvestment Fund Co Ltd [7.0%]; China Everbright Group Ltd [6.5%]; Gansu Provincial State-owned Assets Investment Group Co Ltd [3.0%]; Tangshan City Development Group Co Ltd [2.9%]; Gansu Financial Holding Group Co Ltd [2.0%]; unknown [0.9%]; Gansu Highway Aviation Tourism Investment Group Co Ltd [0.8%],E100000123542 [69.1%]; E100000124529 [7.7%]; E100000128826 [7.0%]; E100000128904 [6.5%]; E100000000189 [3.0%]; E100000124528 [2.9%]; E100000128905 [2.0%]; E100000132388 [0.9%]; E100000129075 [0.8%],unknown [69.1%]; 5000022648 [7.7%]; unknown [7.0%]; 5000038293 [6.5%]; 5000611771 [3.0%]; unknown [2.9%]; unknown [2.0%]; unknown [0.9%]; unknown [0.8%],"Economic Development Zone, laoting Couty, Tangshan City, Hebei Province",河北乐亭经济开发区,Tangshan,Hebei,China,Asia Pacific,"39.2578230, 119.0335670",exact,https://www.gem.wiki/Hbis_Laoting_Steel_Co_Ltd,6,unknown,unknown,2020,unknown,unknown,unknown,,5097.0,,3706.0,semi-finished,"billet, hot rolled",unknown,9613,2024-04-09 00:00:00,2024-04-09 00:00:00,no,BF; BOF; EAF,Rooftop Distributed Photovoltaic Power Generation,unknown,unknown,39.257823,119.033567,6.0,8803.0,39.2578230,119.0335670,POINT (119.033567 39.257823)
449,P100000121045,Hebei Anfeng Iron and Steel Co Ltd,河北安丰钢铁集团有限公司,,,Hebei Anfeng Iron & Steel Co Ltd,河北安丰钢铁集团有限公司,E100000123162,unknown,,Hebei Anfeng Iron & Steel Co Ltd [100.0%],E100000123162 [100.0%],unknown [100.0%],"Jing'an Town, Changli County, Qinhuangdao City, Hebei Province",河北省秦皇岛市昌黎县靖安镇,Qinhuangdao,Hebei,China,Asia Pacific,"39.6584900, 118.8948040",exact,https://www.gem.wiki/Hebei_Anfeng_Iron_and_Steel_Co_Ltd,24,unknown,unknown,2002,unknown,unknown,unknown,,,3900.0,2000.0,finished rolled,"cold rolled, coated, hot rolled","automotive, building and infrastructure, tools and machinery",5146,2025-09-30 00:00:00,2024-09-03 00:00:00,no,BF; BOF,unknown,unknown,unknown,39.65849,118.894804,24.0,5900.0,39.6584900,118.8948040,POINT (118.894804 39.65849)
450,P100000120135,Hebei Baoxin Iron and Steel Group Co Ltd,河北宝信钢铁集团有限公司,"Fengfeng Mining Area Baoxin Materials Co., Ltd., Fengfeng Mining Area Baoxin Steel Co., Ltd., Hebei Baoxin Steel Co., Ltd.","峰峰矿区宝信钢铁有限公司, 峰峰矿区宝信物资有限责任公司, 河北宝信钢铁有限公司",Hebei Baoxin Iron and Steel Group Co Ltd,河北宝信钢铁集团有限公司,E100000126822,unknown,,Hebei Baoxin Iron and Steel Group Co Ltd [100.0%],E100000126822 [100.0%],unknown [100.0%],"East of Nanbate Village, Fengfeng Mining District, Handan City, Hebei Province",河北省邯郸市峰峰矿区和村镇南八特村东,Handan,Hebei,China,Asia Pacific,"36.5552050, 114.1082730",exact,https://www.gem.wiki/Hebei_Baoxin_Iron_and_Steel_Group_Co_Ltd,19,unknown,unknown,2002,unknown,unknown,2021,,2000.0,,,unknown,unknown,unknown,unknown,no,no,no,BF; BOF,unknown,unknown,unknown,36.555205,114.108273,19.0,2000.0,36.5552050,114.1082730,POINT (114.108273 36.555205)
451,P100000120508,Hebei Bishi Central Java steel plant,,Hebei Bishi Kendal,,Hebei Bishi Industry Group Co Ltd,,E100000130944,5000910786,,Hebei Bishi Industry Group Co Ltd [100.0%],E100000130944 [100.0%],5000910786 [100.0%],"Kendal Regency, Central Java, Indonesia",,Kendal Regency,Central Java,Indonesia,Asia Pacific,"-6.8964260, 110.2202860",approximate,https://www.gem.wiki/Hebei_Bishi_Central_Java_steel_plant,unknown,2015,unknown,unknown,unknown,unknown,2019,,,2400.0,,unknown,unknown,unknown,unknown,unknown,unknown,no,BF; BOF; Iron other/unspecified; Steel other/unspecified,270MW captive power plant,unknown,unknown,-6.896426,110.220286,,2400.0,-6.8964260,110.2202860,POINT (110.220286 -6.896426)
459,P100000120117,Hebei Jinxi Iron and Steel Group Co Ltd,河北津西钢铁集团股份有限公司,"Hebei Jinxi Iron and Steel Co., Ltd.",河北津西钢铁股份有限公司,Hebei Jinxi Iron & Steel Group Co Ltd,河北津西钢铁集团股份有限公司,E100000123170,unknown,,Gold Geneses Development Ltd [57.2%]; FIRST GLORY SERVICES Ltd [38.0%]; unknown [4.8%],E100000126003 [57.2%]; E100000126002 [38.0%]; E100000132388 [4.8%],unknown [57.2%]; unknown [38.0%]; unknown [4.8%],"East of Santunying Town, Qianxi County, Tangshan City, Hebei Province",河北省唐山市迁西县三屯营镇东,Tangshan,Hebei,China,Asia Pacific,"40.2098440, 118.2205470",exact,https://www.gem.wiki/Hebei_Jinxi_Iron_and_Steel_Group_Co_Ltd,40,unknown,unknown,1986,unknown,unknown,unknown,,14840.0,,2000.0,finished rolled,"angle, piling, h-beam, channel","building and infrastructure, transport",5364,2025-06-30 00:00:00,2024-06-26 00:00:00,no,BF; BOF,Distributed Photovoltaic Power Generation,unknown,unknown,40.209844,118.220547,40.0,16840.0,40.2098440,118.2205470,POINT (118.220547 40.209844)
461,P100000120307,Hebei Mingbin Iron and Steel Co Ltd,河北铭镔钢铁有限公司,Hebei Wenan Iron and Steel Group Co Ltd,河北文安钢铁集团有限公司,Hebei New Wuan Steel Group Wenan IRON&STEEL Co Ltd,河北新武安钢铁集团文安钢铁有限公司,E100000127093,unknown,,natural person(s) [49.0%]; Hebei Puyang Industrial Group Co Ltd [33.2%]; Longxiang Group (Hong Kong) [17.8%],E100000123261 [49.0%]; E100000124068 [33.2%]; E100000126000 [17.8%],unknown [49.0%]; unknown [33.2%]; unknown [17.8%],"Nanminghe Industrial Park, Wu'an Industrial Park, Handan City, Hebei Province",河北省邯郸市武安市工业园区南洺河工业园,Handan,Hebei,China,Asia Pacific,"36.6314910, 113.9686350",exact,https://www.gem.wiki/Hebei_Mingbin_Iron_and_Steel_Co_Ltd,unknown,2021-12-01 00:00:00,2024,unknown,unknown,unknown,unknown,,2800.0,,1200.0,finished rolled,"wire rod, round bar, strip, hot rolled",unknown,unknown,unknown,unknown,no,BF; BOF,unknown,unknown,unknown,36.631491,113.968635,,4000.0,36.6314910,113.9686350,POINT (113.968635 36.631491)
462,P100000120113,Hebei Puyang Iron and Steel Co Ltd,河北新武安钢铁集团普阳钢铁有限公司,"Hebei Puyang Iron and Steel Group Co., Ltd., Hebei Puyang Metallurgical Casting Co., Ltd., Hebei Xinwu'an Iron and Steel Group Puyang Iron and Steel Co., Ltd.","河北普阳钢铁集团有限公司, 河北普阳冶金铸造有限公司, 河北普阳钢铁有限公司",Hebei Puyang Iron and Steel Co Ltd,河北普阳钢铁有限公司,E100000123171,unknown,,Hebei Puyang Industrial Group Co Ltd [65.0%]; Longxiang Group (Hong Kong) [35.0%],E100000124068 [65.0%]; E100000126000 [35.0%],unknown [65.0%]; unknown [35.0%],"East Village, Yangyi Town, Wu'an City, Handan City, Hebei Province",河北省邯郸市武安市阳邑镇村东,Handan,Hebei,China,Asia Pacific,"36.7336750, 113.9259950",exact,https://www.gem.wiki/Hebei_Puyang_Iron_and_Steel_Co_Ltd,34,unknown,unknown,1992,unknown,unknown,unknown,,9216.0,,1200.0,finished rolled,"galvanized, wire rod, plate, pipe, cold rolled, coil",building and infrastructure,6863,2022-12-22 00:00:00,2022-12-22 00:00:00,no,BF; BOF,"Self-Produced Gas Power Generation, 80MW Power Generation Project",unknown,unknown,36.733675,113.925995,34.0,10416.0,36.7336750,113.9259950,POINT (113.925995 36.733675)
466,P100000120328,Hebei Tangyin Iron and Steel Co Ltd Caofeidian base,河北唐银钢铁有限公司(曹妃甸),,,Hebei Tangyin IRON&STEEL Co Ltd,河北唐银钢铁有限公司,E100000123222,unknown,Partial,HBIS Group Co Ltd [51.0%]; Hebei Yinshui Industrial Group Co Ltd [49.0%],E100000124529 [51.0%]; E100000124065 [49.0%],5000022648 [51.0%]; unknown [49.0%],"Caofeidian Small and Medium-sized Enterprise Park, Tangshan City, Hebei Province",河北省唐山市曹妃甸中小企业园区,Tangshan,Hebei,China,Asia Pacific,"39.1604010, 118.4298060",exact,https://www.gem.wiki/Hebei_Tangyin_Iron_and_Steel_Co_Ltd_Caofeidian_base,20,unknown,unknown,2006,unknown,unknown,unknown,,5300.0,,1200.0,"semi-finished, finished rolled","structural, wire rod, strip, bar, billet, hot rolled",unknown,3696,2023-05-18 00:00:00,2023-05-18 00:00:00,no,BF; BOF,unknown,unknown,unknown,39.160401,118.429806,20.0,6500.0,39.1604010,118.4298060,POINT (118.429806 39.160401)
481,P100000120401,Hebei Zhangxuan High Tech Co Ltd,河北张宣高科科技有限公司,,张宣高科特材研制公司,Hbzx HIGH Tech Co Ltd,河北张宣高科科技有限公司,E100000126320,unknown,Full,HBIS Group Co Ltd [100.0%],E100000124529 [100.0%],5000022648 [100.0%],"No. 93, Xuanfu Street, Xuanhua District, Zhangjiakou City, Hebei Province",河北省张家口市宣化区宣府大街93号,Zhangjiakou,Hebei,China,Asia Pacific,"40.6079770, 115.0675160",approximate,https://www.gem.wiki/Hebei_Zhangxuan_High_Tech_Co_Ltd,3,2022-03-01 00:00:00,unknown,2023,unknown,unknown,unknown,,,518.0,66.0,unknown,unknown,unknown,2060,2024-07-01 00:00:00,2023-08-01 00:00:00,no,DRI; EAF,State Grid Zhangjiakou Power Supply Company,unknown,unknown,40.607977,115.067516,3.0,584.0,40.6079770,115.0675160,POINT (115.067516 40.607977)
483,P100000120157,Heilongjiang Jianlong Iron and Steel Co Ltd,黑龙江建龙钢铁有限公司,,,Heilongjiang Jianlong Iron and Steel Co Ltd,黑龙江建龙钢铁有限公司,E100000127072,unknown,,Beijing Jianlong Investment Co Ltd [90.2%]; unknown [9.8%],E100000000155 [90.2%]; E100000132388 [9.8%],unknown [90.2%]; unknown [9.8%],"No. 64 Shuangxuan Road, Lingdong District, Shuangyashan City, Heilongjiang Province",黑龙江省双鸭山市岭东区双选路64号,Shuangyashan,Heilongjiang,China,Asia Pacific,"46.6022970, 131.0718770",exact,https://www.gem.wiki/Heilongjiang_Jianlong_Iron_and_Steel_Co_Ltd,23,unknown,unknown,2003,unknown,unknown,unknown,,2240.0,1600.0,1600.0,finished rolled,"tube, rebar",unknown,3735,2024-08-21 00:00:00,2023-07-18 00:00:00,no,BF; BOF,unknown,unknown,unknown,46.602297,131.071877,23.0,5440.0,46.6022970,131.0718770,POINT (131.071877 46.602297)
497,P100000120857,Hmisho Steel Hassia plant,حميشو ستيل,EMAAR Industries,,Hmisho Steel SA,,E100000131113,unknown,,Hamsho International Co,E100002003618,5041755506,"Homs-Hisya Industrial Zone, Homs, Syria",,Homs-hisya Industrial Zone,Homs,Syria,Middle East,"34.3642580, 36.8038480",exact,https://www.gem.wiki/Hmisho_Steel_Hassia_plant,13,2005,unknown,2013,unknown,unknown,unknown,,,,300.0,semi-finished,billet,unknown,1000,unknown,unknown,no,BF; EAF,unknown,unknown,unknown,34.364258,36.803848,13.0,300.0,34.3642580,36.8038480,POINT (36.803848 34.364258)
498,P100000121015,Hoa Phat Dung Quat steel plant,Tuyển Dụng Thép Hòa Phát Dung Quất,Hefa Rongju Plant,Công ty CP Thép Hòa Phát Dung Quất,Hoa Phat Dung Quat Steel JSC,Công ty Cổ phần Thép Hòa Phát Hải Dương,E100000131044,5053943328,,Hoa Phat Group JSC [100.0%],E100000130846 [100.0%],4297921171 [100.0%],"Dung Quat Industrial Park, Quang Ngai, Vietnam",,Dung Quat Economic Zone,Quang Ngai,Vietnam,Asia Pacific,"15.3776800, 108.7933210",exact,https://www.gem.wiki/Hoa_Phat_Dung_Quat_steel_plant,9,2017-01-25 00:00:00,unknown,2017,unknown,unknown,unknown,,,2000.0,1800.0,finished rolled,"galvanized, coil, pipe, wire, hot rolled coil","automotive, building and infrastructure",13746,yes,unknown,no,BF; BOF,"residual heat, surplus coke oven gas",unknown,unknown,15.37768,108.793321,9.0,3800.0,15.3776800,108.7933210,POINT (108.793321 15.37768)
